94760	 MEASURE BLOOD OXYGEN LEVEL 
94761	 MEASURE BLOOD OXYGEN LEVEL 
94762	 MEASURE BLOOD OXYGEN LEVEL 
A4206	 1 CC STERILE SYRINGE&NEEDLE 
A4207	 2 CC STERILE SYRINGE&NEEDLE 
A4208	 3 CC STERILE SYRINGE&NEEDLE 
A4209	 5+ CC STERILE SYRINGE&NEEDLE 
A4210	 NONNEEDLE INJECTION DEVICE 
A4211	 SUPP FOR SELF-ADM INJECTIONS 
A4213	 20+ CC SYRINGE ONLY 
A4216	 STERILE WATER/SALINE, 10 ML 
A4217	 STERILE WATER/SALINE, 500 ML 
A4221	 Maint drug infus cath per wk 
A4222	 Infusion supplies with pump 
A4265	 PARAFFIN, PER POUND 
A4310	 Insert tray w/o bag/cath 
A4311	 CATHETER W/O BAG 2-WAY LATEX 
A4312	 CATH W/O BAG 2-WAY SILICONE 
A4313	 CATHETER W/BAG 3-WAY 
A4314	 CATH W/DRAINAGE 2-WAY LATEX 
A4315	 CATH W/DRAINAGE 2-WAY SILCNE 
A4316	 CATH W/DRAINAGE 3-WAY 
A4320	 IRRIGATION TRAY 
A4321	 CATH THERAPEUTIC IRRIG AGENT 
A4322	 IRRIGATION SYRINGE 
A4326	 MALE EXTERNAL CATHETER 
A4327	 FEM URINARY COLLECT DEV CUP 
A4328	 FEM URINARY COLLECT POUCH 
A4330	 Perianal fecal collection pouch with adhesive, each 
A4331	 EXTENSION DRAINAGE TUBING 
A4332	 LUBE STERILE PACKET 
A4333	 URINARY CATH ANCHOR DEVICE 
A4334	 URINARY CATH LEG STRAP 
A4336	 URETHRAL INSERT 
A4338	 INDWELLING CATHETER LATEX 
A4340	 INDWELLING CATHETER SPECIAL 
A4344	 CATH INDW FOLEY 2 WAY SILICN 
A4346	 CATH INDW FOLEY 3 WAY 
A4347	 MENTOR URINARY DRAIN VALVE 
A4348	 EXTERNAL CATHETER MALE 29MM 
A4349	 DISPOSABLE MALE EXTERNAL CAT 
A4351	 STRAIGHT TIP URINE CATHETER 
A4352	 COUDE TIP URINARY CATHETER 
A4353	 INTERMITTENT URINARY CATH 
A4354	 CATH INSERTION TRAY W/BAG 
A4355	 BLADDER IRRIGATION TUBING 
A4356	 EXT URETH CLMP OR COMPR DVC 
A4357	 BEDSIDE DRAINAGE BAG 
A4358	 URINARY LEG OR ABDOMEN BAG 
A4359	 URINARY SUSPENSORY W/O LEG B 
A4360	 DISPOSABLE EXT URETHRAL DEV 
A4361	 OSTOMY FACE PLATE 
A4362	 SOLID SKIN BARRIER 
A4363	 OSTOMY CLAMP, REPLACEMENT 
A4364	 ADHESIVE, LIQUID OR EQUAL 
A4365	  ADHESIVE REMOVER  
A4366	 OSTOMY VENT 
A4367	 OSTOMY BELT 
A4368	 OSTOMY FILTER 
A4369	 SKIN BARRIER LIQUID PER OZ 
A4371	 SKIN BARRIER POWDER PER OZ 
A4372	 SKIN BARRIER SOLID 4X4 EQUIV 
A4373	 SKIN BARRIER WITH FLANGE 
A4375	 DRAINABLE PLASTIC PCH W FCPL 
A4376	 DRAINABLE RUBBER PCH W FCPLT 
A4377	 DRAINABLE PLSTIC PCH W/O FP 
A4378	 DRAINABLE RUBBER PCH W/O FP 
A4379	 URINARY PLASTIC POUCH W FCPL 
A4380	 URINARY RUBBER POUCH W FCPLT 
A4381	 URINARY PLASTIC POUCH W/O FP 
A4382	 URINARY HVY PLSTC PCH W/O FP 
A4383	 URINARY RUBBER POUCH W/O FP 
A4384	 OSTOMY FACEPLT/SILICONE RING 
A4385	 OST SKN BARRIER SLD EXT WEAR 
A4387	 OST CLSD POUCH W ATT ST BARR 
A4388	 DRAINABLE PCH W EX WEAR BARR 
A4389	 DRAINABLE PCH W ST WEAR BARR 
A4390	 DRAINABLE PCH EX WEAR CONVEX 
A4391	 URINARY POUCH W EX WEAR BARR 
A4392	 URINARY POUCH W ST WEAR BARR 
A4393	 URINE PCH W EX WEAR BAR CONV 
A4394	 OSTOMY POUCH LIQ DEODORANT 
A4395	 OSTOMY POUCH SOLID DEODORANT 
A4396	 Ostomy belt with peristomal hernia support 
A4397	 IRRIGATION SUPPLY SLEEVE 
A4398	 OSTOMY IRRIGATION BAG 
A4399	 OSTOMY IRRIG CONE/CATH W BRS 
A4400	 OSTOMY IRRIGATION SET 
A4402	 LUBRICANT PER OUNCE 
A4404	 OSTOMY RING EACH 
A4405	 NONPECTIN BASED OSTOMY PASTE 
A4406	 PECTIN BASED OSTOMY PASTE 
A4407	 EXT WEAR OST SKN BARR <=4SQ" 
A4408	 EXT WEAR OST SKN BARR >4SQ" 
A4409	 OST SKN BARR CONVEX <=4 SQ I 
A4410	 OST SKN BARR EXTND >4 SQ 
A4411	 OST SKN BARR EXTND =4SQ 
A4412	 OST POUCH DRAIN HIGH OUTPUT 
A4413	 2 PC DRAINABLE OST POUCH 
A4414	 OST SKNBAR W/O CONV<=4 SQ IN 
A4415	 OST SKN BARR W/O CONV >4 SQI 
A4416	 OST PCH CLSD W BARRIER/FILTR 
A4417	 OST PCH W BAR/BLTINCONV/FLTR 
A4418	 OST PCH CLSD W/O BAR W FILTR 
A4419	 OST PCH FOR BAR W FLANGE/FLT 
A4420	 OST PCH CLSD FOR BAR W LK FL 
A4421	 OSTOMY SUPPLY MISC 
A4422	 OST POUCH ABSORBENT MATERIAL 
A4423	 OST PCH FOR BAR W LK FL/FLTR 
A4424	 OST PCH DRAIN W BAR & FILTER 
A4425	 OST PCH DRAIN FOR BARRIER FL 
A4426	 OST PCH DRAIN 2 PIECE SYSTEM 
A4427	 OST PCH DRAIN/BARR LK FLNG/F 
A4428	 URINE OST POUCH W FAUCET/TAP 
A4429	 URINE OST POUCH W BLTINCONV 
A4430	 OST URINE PCH W B/BLTIN CONV 
A4431	 OST PCH URINE W BARRIER/TAPV 
A4432	 OS PCH URINE W BAR/FANGE/TAP 
A4433	 URINE OST PCH BAR W LOCK FLN 
A4434	 OST PCH URINE W LOCK FLNG/FT 
A4435	 1PC OST PCH DRAIN HGH OUTPUT 
A4450	 NON-WATERPROOF TAPE 
A4452	 WATERPROOF TAPE 
A4455	 ADHESIVE REMOVER PER OUNCE 
A4456	 ADHESIVE REMOVER, WIPES 
A4461	 SURGICL DRESS HOLD NON-REUSE 
A4463	 SURGICAL DRESS HOLDER REUSE 
A4481	 TRACHEOSTOMA FILTER 
A4483	 Moisture exchanger, disposable, for use with invasive mechanical ventilation 
A4556	 ELECTRODES, PAIR 
A4557	 LEAD WIRES, PAIR 
A4558	 CONDUCTIVE GEL OR PASTE 
A4559	 COUPLING GEL OR PASTE 
A4595	 TENS SUPPL 2 LEAD PER MONTH 
A4604	 Tubing with integrated heating element for use with positive airway pressure device 
A4605	 TRACH SUCTION CATH CLOSE SYS 
A4606	 OXYGEN PROBE USED W OXIMETER 
A4608	 Transtracheal oxygen cath 
A4611	 HEAVY DUTY BATTERY 
A4612	 BATTERY CABLES 
A4614	 Hand-held pefr meter 
A4615	 CANNULA NASAL 
A4616	 TUBING (OXYGEN) PER FOOT 
A4617	 MOUTH PIECE 
A4618	 BREATHING CIRCUITS 
A4619	 Face tent 
A4620	 VARIABLE CONCENTRATION MASK 
A4623	 TRACHEOSTOMY INNER CANNULA 
A4624	 TRACHEAL SUCTION TUBE 
A4625	 TRACH CARE KIT FOR NEW TRACH 
A4626	 TRACHEOSTOMY CLEANING BRUSH 
A4627	 SPACER BAG/RESERVOIR 
A4628	 OROPHARYNGEAL SUCTION CATH 
A4629	 TRACHEOSTOMY CARE KIT 
A4630	 REPL BAT T.E.N.S. OWN BY PT 
A4633	 Uvl replacement bulb 
A4635	 UNDERARM CRUTCH PAD 
A4636	 HANDGRIP FOR CANE ETC 
A4637	 REPL TIP CANE/CRUTCH/WALKER 
A4639	 Infrared ht sys replcmnt pad 
A4640	 ALTERNATING PRESSURE PAD 
A4928	 SURGICAL MASK 
A4930	 STERILE, GLOVES PER PAIR 
A5051	 POUCH CLSD W BARR ATTACHED 
A5052	 CLSD OSTOMY POUCH W/O BARR 
A5053	 CLSD OSTOMY POUCH FACEPLATE 
A5054	 CLSD OSTOMY POUCH W/FLANGE 
A5055	 STOMA CAP 
A5056	 1 PC OST POUCH W FILTER 
A5057	 1 PC OST POU W BUILT-IN CONV 
A5061	 POUCH DRAINABLE W BARRIER AT 
A5062	 DRNBLE OSTOMY POUCH W/O BARR 
A5063	 DRAIN OSTOMY POUCH W/FLANGE 
A5071	 URINARY POUCH W/BARRIER 
A5072	 URINARY POUCH W/O BARRIER 
A5073	 URINARY POUCH ON BARR W/FLNG 
A5081	 STOMA PLUG OR SEAL, ANY TYPE 
A5082	 CONTINENT STOMA CATHETER 
A5083	 STOMA ABSORPTIVE COVER 
A5093	 OSTOMY ACCESSORY CONVEX INSE 
A5102	 BEDSIDE DRAIN BTL W/WO TUBE 
A5105	 URINARY SUSPENSORY 
A5112	 URINARY LEG BAG 
A5113	 LATEX LEG STRAP 
A5114	 FOAM/FABRIC LEG STRAP 
A5120	 SKIN BARRIER, WIPE OR SWAB 
A5121	 SOLID SKIN BARRIER 6X6 
A5122	 SOLID SKIN BARRIER 8X8 
A5126	 DISK/FOAM PAD +OR- ADHESIVE 
A5131	 APPLIANCE CLEANER 
A5200	 PERCUTANEOUS CATHETER ANCHOR 
A6010	 COLLAGEN BASED WOUND FILLER 
A6011	 COLLAGEN GEL/PASTE WOUND FIL 
A6021	 COLLAGEN DRESSING <=16 SQ IN 
A6022	 COLLAGEN DRSG>16<=48 SQ IN 
A6023	 COLLAGEN DRESSING >48 SQ IN 
A6024	 COLLAGEN DSG WOUND FILLER 
A6154	 WOUND POUCH EACH 
A6196	 ALGINATE DRESSING <=16 SQ IN 
A6197	 ALGINATE DRSG >16 <=48 SQ IN 
A6198	 ALGINATE DRESSING > 48 SQ IN 
A6199	 ALGINATE DRSG WOUND FILLER 
A6203	 COMPOSITE DRSG <= 16 SQ IN 
A6204	 COMPOSITE DRSG >16<=48 SQ IN 
A6206	 CONTACT LAYER <= 16 SQ IN 
A6207	 CONTACT LAYER >16<= 48 SQ IN 
A6208	 CONTACT LAYER > 48 SQ IN 
A6209	 FOAM DRSG <=16 SQ IN W/O BDR 
A6210	 FOAM DRG >16<=48 SQ IN W/O B 
A6211	 FOAM DRG > 48 SQ IN W/O BRDR 
A6212	 FOAM DRG <=16 SQ IN W/BORDER 
A6213	 FOAM DRG >16<=48 SQ IN W/BDR 
A6214	 FOAM DRG > 48 SQ IN W/BORDER 
A6215	 FOAM DRESSING WOUND FILLER 
A6216	 NON-STERILE GAUZE<=16 SQ IN 
A6218	 NON-STERILE GAUZE > 48 SQ IN 
A6219	 GAUZE <= 16 SQ IN W/BORDER 
A6220	 GAUZE >16 <=48 SQ IN W/BORDR 
A6222	 GAUZE <=16 IN NO W/SAL W/O B 
A6223	 GAUZE >16<=48 NO W/SAL W/O B 
A6224	 GAUZE > 48 IN NO W/SAL W/O B 
A6229	 GAUZE >16<=48 SQ IN WATR/SAL 
A6231	 HYDROGEL DSG<=16 SQ IN 
A6232	 HYDROGEL DSG>16<=48 SQ IN 
A6233	 HYDROGEL DRESSING >48 SQ IN 
A6234	 HYDROCOLLD DRG <=16 W/O BDR 
A6235	 HYDROCOLLD DRG >16<=48 W/O B 
A6236	 HYDROCOLLD DRG > 48 IN W/O B 
A6237	 HYDROCOLLD DRG <=16 IN W/BDR 
A6238	 HYDROCOLLD DRG >16<=48 W/BDR 
A6239	 HYDROCOLLD DRG > 48 IN W/BDR 
A6240	 HYDROCOLLD DRG FILLER PASTE 
A6241	 HYDROCOLLOID DRG FILLER DRY 
A6242	 HYDROGEL DRG <=16 IN W/O BDR 
A6243	 HYDROGEL DRG >16<=48 W/O BDR 
A6244	 HYDROGEL DRG >48 IN W/O BDR 
A6245	 HYDROGEL DRG <= 16 IN W/BDR 
A6246	 HYDROGEL DRG >16<=48 IN W/B 
A6247	 HYDROGEL DRG > 48 SQ IN W/B 
A6248	 HYDROGEL DRSG GEL FILLER 
A6251	 ABSORPT DRG <=16 SQ IN W/O B 
A6252	 ABSORPT DRG >16 <=48 W/O BDR 
A6253	 ABSORPT DRG > 48 SQ IN W/O B 
A6254	 ABSORPT DRG <=16 SQ IN W/BDR 
A6255	 ABSORPT DRG >16<=48 IN W/BDR 
A6257	 TRANSPARENT FILM <= 16 SQ IN 
A6258	 TRANSPARENT FILM >16<=48 IN 
A6259	 TRANSPARENT FILM > 48 SQ IN 
A6266	 IMPREG GAUZE NO H20/SAL/YARD 
A6402	 STERILE GAUZE <= 16 SQ IN 
A6403	 STERILE GAUZE>16 <= 48 SQ IN 
A6407	 PACKING STRIPS, NON-IMPREG 
A6410	 STERILE EYE PAD 
A6412	 OCCLUSIVE EYE PATCH 
A6441	 PAD BAND W>=3" <5"/YD 
A6442	 CONFORM BAND N/S W<3"/YD 
A6443	 CONFORM BAND N/S W>=3"<5"/YD 
A6444	 CONFORM BAND N/S W>=5"/YD 
A6445	 CONFORM BAND S W <3"/YD 
A6446	 CONFORM BAND S W>=3" <5"/YD 
A6447	 CONFORM BAND S W >=5"/YD 
A6448	 LT COMPRES BAND <3"/YD 
A6449	 LT COMPRES BAND >=3" <5"/YD 
A6450	 LT COMPRES BAND >=5"/YD 
A6451	 MOD COMPRES BAND W>=3"<5"/YD 
A6452	 HIGH COMPRES BAND W>=3"<5"YD 
A6453	 SELF-ADHER BAND W <3"/YD 
A6454	 SELF-ADHER BAND W>=3" <5"/YD 
A6455	 SELF-ADHER BAND >=5"/YD 
A6456	 ZINC PASTE BAND W >=3"<5"/YD 
A6457	 TUBULAR DRESSING 
A6550	 Neg pres wound ther drsg set 
A7000	 Disposable canister for pump 
A7001	 Nondisposable pump canister 
A7002	 TUBING USED W SUCTION PUMP 
A7003	 NEBULIZER ADMINISTRATION SET 
A7004	 DISPOSABLE NEBULIZER SML VOL 
A7005	 NONDISPOSABLE NEBULIZER SET 
A7006	 FILTERED NEBULIZER ADMIN SET 
A7007	 LG VOL NEBULIZER DISPOSABLE 
A7008	 DISPOSABLE NEBULIZER PREFILL 
A7009	 NEBULIZER RESERVOIR BOTTLE 
A7010	 DISPOSABLE CORRUGATED TUBING 
A7012	 NEBULIZER WATER COLLEC DEVIC 
A7013	 DISPOSABLE COMPRESSOR FILTER 
A7014	 COMPRESSOR NONDISPOS FILTER 
A7015	 AEROSOL MASK USED W NEBULIZE 
A7016	 NEBULIZER DOME & MOUTHPIECE 
A7017	 NEBULIZER NOT USED W OXYGEN 
A7018	 WATER DISTILLED W/NEBULIZER 
A7020	 INTERFACE, COUGH STIM DEVICE 
A7025	 REPLACE CHEST COMPRESS VEST 
A7026	 REPLACE CHST CMPRSS SYS HOSE 
A7027	 COMBINATION ORAL/NASAL MASK 
A7028	 REPL ORAL CUSHION COMBO MASK 
A7029	 REPL NASAL PILLOW COMB MASK 
A7030	 CPAP FULL FACE MASK 
A7031	 REPLACEMENT FACEMASK INTERFA 
A7032	 REPLACEMENT NASAL CUSHION 
A7033	 REPLACEMENT NASAL PILLOWS 
A7034	 NASAL APPLICATION DEVICE 
A7035	 POS AIRWAY PRESS HEADGEAR 
A7036	 POS AIRWAY PRESS CHINSTRAP 
A7037	 POS AIRWAY PRESSURE TUBING 
A7038	 POS AIRWAY PRESSURE FILTER 
A7039	 FILTER, NON DISPOSABLE W PAP 
A7040	 One way chest drain valve 
A7041	 Water seal drain container 
A7044	 Pap oral interface 
A7045	 Repl exhalation port for pap 
A7046	 Repl water chamber, pap dev 
A7048	 Vacuum drain bottle/tube kit 
A7501	 TRACHEOSTOMA VALVE W DIAPHRA 
A7502	 REPLACEMENT DIAPHRAGM/FPLATE 
A7503	 HMES FILTER HOLDER OR CAP 
A7504	 TRACHEOSTOMA HMES FILTER 
A7505	 HMES OR TRACH VALVE HOUSING 
A7506	 HMES/TRACHVALVE ADHESIVEDISK 
A7507	 INTEGRATED FILTER & HOLDER 
A7508	 HOUSING & INTEGRATED ADHESIV 
A7509	 HEAT & MOISTURE EXCHANGE SYS 
A7520	 TRACH/LARYN TUBE NON-CUFFED 
A7521	 TRACH/LARYN TUBE CUFFED 
A7522	 TRACH/LARYN TUBE STAINLESS 
A7523	 TRACHEOSTOMY SHOWER PROTECT 
A7524	 TRACHEOSTOMA STENT/STUD/BTTN 
A7525	 TRACHEOSTOMY MASK 
A7526	 TRACHEOSTOMY TUBE COLLAR 
A7527	 TRACH/LARYN TUBE PLUG/STOP 
B4149	 EF blenderized foods  
B4150	 EF complete w/intact nutrient  
B4152	 EF calorie dense>/=1.5Kcal  
B4153	 EF hydrolyzed/amino acids  
B4154	 EF spec metabolic noninherit  
B4155	 EF incomplete/modular  
B9000	 Enter infusion pump w/o alrm  
B9002	 Enteral infusion pump w/ alarm
E0100	 CANE ADJUST/FIXED WITH TIP 
E0105	 CANE ADJUST/FIXED QUAD/3 PRO 
E0110	 CRUTCH FOREARM PAIR 
E0111	 CRUTCH FOREARM EACH 
E0112	 CRUTCH UNDERARM PAIR WOOD 
E0113	 CRUTCH UNDERARM EACH WOOD 
E0114	 CRUTCH UNDERARM PAIR NO WOOD 
E0116	 CRUTCH UNDERARM EACH NO WOOD 
E0117	 UNDERARM SPRINGASSIST CRUTCH 
E0118	 CRUTCH SUBSTITUTE 
E0130	 WALKER RIGID ADJUST/FIXED HT 
E0135	 WALKER FOLDING ADJUST/FIXED 
E0140	 WALKER W TRUNK SUPPORT 
E0141	 RIGID WHEELED WALKER ADJ/FIX 
E0143	 WALKER FOLDING WHEELED W/O S 
E0144	 Walker, enclosed, four sided framed, rigid or folding, wheeled with posterior seat 
E0147	 WALKER VARIABLE WHEEL RESIST 
E0148	 HEAVYDUTY WALKER NO WHEELS 
E0149	 HEAVY DUTY WHEELED WALKER 
E0153	 FOREARM CRUTCH PLATFORM ATTA 
E0154	 WALKER PLATFORM ATTACHMENT 
E0155	 WALKER WHEEL ATTACHMENT,PAIR 
E0156	 WALKER SEAT ATTACHMENT 
E0157	 WALKER CRUTCH ATTACHMENT 
E0158	 WALKER LEG EXTENDERS SET OF4 
E0159	 BRAKE FOR WHEELED WALKER 
E0160	 SITZ TYPE BATH OR EQUIPMENT 
E0161	 SITZ BATH/EQUIPMENT W/FAUCET 
E0162	 SITZ BATH CHAIR 
E0163	 COMMODE CHAIR WITH FIXED ARM 
E0165	 COMMODE CHAIR WITH DETACHARM 
E0167	 COMMODE CHAIR PAIL OR PAN 
E0168	 HEAVYDUTY/WIDE COMMODE CHAIR 
E0170	 Commode chair electric 
E0171	 COMMODE CHAIR NON-ELECTRIC 
E0172	 SEAT LIFT MECHANISM TOILET 
E0175	 COMMODE CHAIR FOOT REST 
E0181	 PRESS PAD ALTERNATING W/ PUM 
E0182	 REPLACE PUMP, ALT PRESS PAD 
E0184	 DRY PRESSURE MATTRESS 
E0185	 GEL PRESSURE MATTRESS PAD 
E0186	 AIR PRESSURE MATTRESS 
E0187	 WATER PRESSURE MATTRESS 
E0188	 SYNTHETIC SHEEPSKIN PAD 
E0189	 LAMBSWOOL SHEEPSKIN PAD 
E0191	 PROTECTOR HEEL OR ELBOW 
E0193	 Powered air flotation bed 
E0196	 GEL PRESSURE MATTRESS 
E0197	 AIR PRESSURE PAD FOR MATTRES 
E0198	 WATER PRESSURE PAD FOR MATTR 
E0199	 DRY PRESSURE PAD FOR MATTRES 
E0202	 PHOTOTHERAPY LIGHT W/ PHOTOM 
E0210	 Electric heat pad, standard 
E0215	 ELECTRIC HEAT PAD MOIST 
E0217	 WATER CIRC HEAT PAD W PUMP 
E0225	 HYDROCOLLATOR UNIT 
E0235	 PARAFFIN BATH UNIT PORTABLE 
E0236	 PUMP FOR WATER CIRCULATING P 
E0239	 HYDROCOLLATOR UNIT PORTABLE 
E0244	 RAISED TOILET SEAT 
E0245	 TUB STOOL OR BENCH 
E0249	 PAD WATER CIRCULATING HEAT U 
E0250	 HOSP BED FIXED HT W/ MATTRES 
E0251	 HOSP BED FIXD HT W/O MATTRES 
E0255	 HOSPITAL BED VAR HT W/ MATTR 
E0256	 HOSPITAL BED VAR HT W/O MATT 
E0260	 HOSP BED SEMI-ELECTR W/ MATT 
E0261	 HOSP BED SEMI-ELECTR W/O MAT 
E0265	 Hosp bed total electr w/ mat 
E0266	 Hosp bed total elec w/o matt 
E0271	 MATTRESS INNERSPRING 
E0272	 MATTRESS FOAM RUBBER 
E0275	 Bed pan standard 
E0276	 BED PAN FRACTURE 
E0277	 POWERED PRES-REDU AIR MATTRS 
E0280	 Bed cradle 
E0290	 HOSP BED FX HT W/O RAILS W/M 
E0291	 HOSP BED FX HT W/O RAIL W/O 
E0292	 HOSP BED VAR HT W/O RAIL W/O 
E0293	 HOSP BED VAR HT W/O RAIL W/ 
E0294	 HOSP BED SEMI-ELECT W/ MATTR 
E0295	 HOSP BED SEMI-ELECT W/O MATT 
E0296	 Hosp bed total elect w/ matt 
E0297	 Hosp bed total elect w/o mat 
E0301	 HD HOSP BED, 350-600 LBS 
E0302	 EX HD HOSP BED > 600 LBS 
E0303	 HOSP BED HVY DTY XTRA WIDE 
E0304	 HOSP BED XTRA HVY DTY X WIDE 
E0305	 RAILS BED SIDE HALF LENGTH 
E0310	 RAILS BED SIDE FULL LENGTH 
E0316	 Bed safety enclosure 
E0325	 URINAL MALE JUG-TYPE 
E0326	 URINAL FEMALE JUG-TYPE 
E0371	 NONPOWER MATTRESS OVERLAY 
E0372	 POWERED AIR MATTRESS OVERLAY 
E0373	 NONPOWERED PRESSURE MATTRESS 
E0424	 STATIONARY COMPRESSED GAS 02 
E0431	 PORTABLE GASEOUS 02 
E0433	 PORTABLE LIQUID OXYGEN SYS 
E0434	 PORTABLE LIQUID 02 
E0439	 STATIONARY LIQUID 02 
E0441	 STATIONARY O2 CONTENTS, GAS 
E0442	 STATIONARY O2 CONTENTS, LIQ 
E0443	 PORTABLE 02 CONTENTS, GAS 
E0444	 PORTABLE 02 CONTENTS, LIQUID 
E0445	 OXIMETER NON-INVASIVE 
E0457	 CHEST SHELL 
E0459	 CHEST WRAP 
E0470	 RAD W/O BACKUP NON-INV INTFC 
E0471	 RAD W/BACKUP NON INV INTRFC 
E0472	 RAD W BACKUP INVASIVE INTRFC 
E0480	 PERCUSSOR ELECT/PNEUM HOME M 
E0481	 INTRPULMNRY PERCUSS VENT SYS 
E0482	 COUGH STIMULATING DEVICE 
E0483	 CHEST COMPRESSION GEN SYSTEM 
E0484	 NON-ELEC OSCILLATORY PEP DVC 
E0550	 HUMIDIF EXTENS SUPPLE W IPPB 
E0555	 HUMIDIFIER FOR USE W/ REGULA 
E0560	 HUMIDIFIER SUPPLEMENTAL W/ I 
E0561	 HUMIDIFIER NONHEATED W PAP 
E0562	 HUMIDIFIER HEATED USED W PAP 
E0565	 COMPRESSOR AIR POWER SOURCE 
E0570	 NEBULIZER WITH COMPRESSION 
E0572	 AEROSOL COMPRESSOR ADJUST PR 
